,article_link,title,subhead,status,byline,article_type,image_url
10,https://www.lemonde.fr/en/international/article/2025/06/18/us-judge-orders-trump-administration-to-resume-issuing-passports-for-transgender-americans_6742447_4.html,US judge orders Trump administration to issue passports recognizing 'X' gender,"A Donald Trump executive order stated that the US would only recognize two genders − male and female. Now, a federal judge has ordered the State Department to resume issuing passports recognizing a third gender, denoted by an 'X.'",not premium,Le Monde with AFP,World      US Politics,https://img.lemde.fr/2022/04/11/0/0/4000/2667/664/0/75/0/3b5a915_5962605-01-06.jpg
11,https://www.lemonde.fr/en/opinion/article/2025/06/18/to-gain-financial-autonomy-europe-must-create-a-large-scale-debt-market_6742445_23.html,"'To gain financial autonomy, Europe must create a large-scale debt market'","Investors are looking to leave the US to escape Donald Trump, but they hesitate to come to Europe, where financial markets are too fragmented. A proposal by two economists offers a potential solution, observes Le Monde's Eric Albert in his column.",Subscribers only,no author name,Opinion      European Union,no image
12,https://www.lemonde.fr/en/environment/article/2025/06/18/in-sweden-public-officials-who-voice-climate-concerns-are-facing-a-government-led-crackdown-on-activism_6742444_114.html,"In Sweden, climate-conscious public servants face a government-led 'crackdown on activism'","Swedish civil servants have reported being targeted when expressing climate concerns or engaging in NGOs, under Sweden's center-right government, which is supported by the far right.",Subscribers only,By Anne-Françoise Hivert (Malmö (Sweden) correspondent),Environment      Sweden,https://img.lemde.fr/2025/06/05/0/0/5500/3668/664/0/75/0/9ebc167_sirius-fs-upload-1-hcvp3nbelvle-1749118620689-2024-04-21t193034z-827206269-rc2za7a00lua-rtrmadp-3-climate-change-sweden.JPG
13,https://www.lemonde.fr/en/international/article/2025/06/18/iran-asks-its-people-to-delete-whatsapp-from-their-devices_6742446_4.html,Iran asks its people to delete WhatsApp from their devices,"Iranian state television on Tuesday alleged, without specific evidence, that the messaging app gathered user information to send to Israel.",not premium,Le Monde with AP,World      Social Media,https://img.lemde.fr/2025/06/16/0/0/1729/1153/664/0/75/0/d30aba9_ftp-import-images-1-rtbeonyknbgy-ef7f4947c916432a8c7000bd4e4df4b9-0-aabb88dbe06c49fa929f3a6b1f40b165.jpg
14,https://www.lemonde.fr/en/international/article/2025/06/17/iranian-armed-forces-chief-warns-of-imminent-punitive-operations-against-israel_6742439_4.html,Iranian armed forces chief warns of imminent 'punitive operations' against Israel,"Iran has said its recent targets in Israel included 'sensitive' security sites, claiming attacks on the Mossad spy agency headquarters and air force bases. Meanwhile, Israel said it intercepted 'most' of a barrage of missiles fired from Iran at Tel Aviv and northern parts of the country.",not premium,Le Monde with AFP,World      Middle East wars,https://img.lemde.fr/2025/06/17/0/0/8640/5760/664/0/75/0/13e7411_ftp-import-images-1-l6p1lrgpomi1-83601ae32c3642638210595a47035313-0-93f1f587522245658c50ec8a57488e86.jpg
15,https://www.lemonde.fr/en/international/article/2025/06/17/braving-humiliation-and-death-to-get-food-in-gaza_6742437_4.html,Braving humiliation and death to get food in Gaza,"Every day, dozens of Palestinians are killed near the four aid distribution sites set up by an American organization under the supervision of the Israeli military.",Subscribers only,By Marie Jo Sader,World      War in Gaza,https://img.lemde.fr/2025/06/16/0/0/4525/3016/664/0/75/0/9e582f9_ftp-import-images-1-bgnkdmsja0k5-0cac496b956143d9aeeef4743f162715-0-731366298a10479ca4a544dac3ab22fb.jpg
16,https://www.lemonde.fr/en/international/article/2025/06/17/tehran-residents-flee-israeli-bombings-innocents-are-killed-and-it-s-going-to-get-worse_6742424_4.html,Tehran residents flee Israeli bombings: 'Innocents are killed and it's going to get worse',"As the Israeli military issued its first evacuation order to Tehran's population, several explosions were heard in the eastern part of the Iranian capital.",Subscribers only,By Ghazal Golshiri,World      Israel-Iran conflict,https://img.lemde.fr/2025/06/16/0/0/8640/5760/664/0/75/0/d8d0de6_upload-1-qdvg31kljnnf-429595.jpg
17,https://www.lemonde.fr/en/international/article/2025/06/17/by-attacking-iran-netanyahu-stakes-his-political-survival_6742428_4.html,"By attacking Iran, Netanyahu stakes his political survival","As he launches Israel into another conflict, the prime minister is taking the risk of a drawn-out stalemate.",Subscribers only,"By Samuel Forey (Jerusalem, correspondent)",World      Israel-Iran conflict,https://img.lemde.fr/2025/06/11/0/0/6000/4000/664/0/75/0/b21feb2_ftp-import-images-1-5tk7jcawb8ac-5164878-01-06.jpg
18,https://www.lemonde.fr/en/france/article/2025/06/17/beloved-black-corsican-beaches-threatened-by-nickel-mining-project_6742438_7.html,Beloved black Corsican beaches threatened by nickel mining project,"Nickel, essential for the electric battery sector, is present in the sand of the artificial beaches of Nonza and Albo, in northern Corsica. A recent mining project has sparked widespread opposition from local residents, who are deeply attached to these beaches, shaped by the region's industrial past.",Subscribers only,By Paul Ortoli (Ajaccio (France) correspondent),France      Corsica,https://img.lemde.fr/2025/05/02/0/0/5292/3528/664/0/75/0/a7ee9b1_sirius-fs-upload-1-lzkp6cbxwrzb-1746194666544-000-42ve2b9.jpg
19,https://www.lemonde.fr/en/history/article/2025/06/18/the-us-refusal-to-intervene-in-syria-in-2013-a-french-trauma_6742449_157.html,The US refusal to intervene in Syria in 2013: A French trauma,"Series'The Transatlantic Divorce' (3/5). On August 31, 2013, as French warplanes were en route to Syria to launch a joint operation with the US against the regime of Bashar al-Assad, which had used chemical weapons against its own people, Barack Obama decided to delay, leaving France alone and powerless.",Subscribers only,no author name,History      United States,no image
20,https://www.lemonde.fr/en/international/article/2025/06/17/trump-hastily-leaves-g7-overshadowed-by-middle-east-and-ukraine-conflicts-lashes-out-at-macron_6742423_4.html,"Trump hastily leaves G7 overshadowed by Middle East and Ukraine conflicts, lashes out at Macron","The American president once again made clear his rejection of multilateralism amid escalating tensions between Israel and Iran. 'Emmanuel always gets it wrong,' he said of his French counterpart.",Subscribers only,"By Philippe Ricard (Kananaskis [Canada], special correspondent)",World      Diplomacy,https://img.lemde.fr/2025/06/17/0/0/5900/3933/664/0/75/0/91917f2_upload-1-venjsexu3y6g-jmug250616103.jpg
21,https://www.lemonde.fr/en/history/article/2025/06/17/the-failure-of-obama-s-leading-from-behind-in-libya_6742410_157.html,The failure of Obama's 'leading from behind' in Libya,"Long Read'The Transatlantic Divorce' (2/5). Elected on the promise of no longer sending American troops to the Middle East, President Barack Obama allowed France and the UK to lead the Libyan operation, which resulted in Muammar Gaddafi's fall. He emerged deeply frustrated by the shortcomings of his European allies.",Subscribers only,no author name,History      United States,no image
22,https://www.lemonde.fr/en/opinion/article/2025/06/18/international-law-and-the-lessons-of-history_6742458_23.html,International law and the lessons of history,The need for shared rules at the international level is essential to prevent a return to a world divided into spheres of influence. Recent history has shown that regime change imposed from outside leads to chaos.,not premium,no author name,Opinion      Diplomacy,https://img.lemde.fr/2025/06/13/0/0/3000/1681/664/0/75/0/c948617_upload-1-8afq6nuq1ufs-522708.jpg
23,https://www.lemonde.fr/en/opinion/article/2025/06/16/at-the-g7-it-s-trump-against-the-rest-in-a-chaotic-world_6742384_23.html,"At the G7, it's Trump against the rest, in a chaotic world","As the leaders of the seven largest Western economies, plus the European Union, meet in Canada from Sunday, the divisions within what can hardly still be called the 'Western family' have been brought out into the open.",not premium,no author name,Opinion      Diplomacy,https://img.lemde.fr/2025/06/16/0/0/3936/2632/664/0/75/0/e53fb1c_upload-1-xikmts7tvxic-429497.jpg
24,https://www.lemonde.fr/en/opinion/article/2025/06/17/the-french-socialists-a-show-of-impotence_6742427_23.html,The French Socialists' show of impotence,"The state of division within the Parti Socialiste, once the dominant force on the French left, was laid bare at the party's 81st congress, exposing it to major setbacks, just two years ahead of the 2027 presidential election.",not premium,no author name,Opinion      French Politics,https://img.lemde.fr/2025/06/17/0/0/6000/4000/664/0/75/0/24a4418_upload-1-p3ald6qxr61q-cbi1262042.JPG
